Chr1plus	9191	9257	-	Chr1plus_9191_9257	Chr1plus_9191	Chr1plus_9257	5'UTR	intron	Pa_1_1032.G
Chr1plus	8985	9043	-	Chr1plus_8985_9043	Chr1plus_8985	Chr1plus_9043	3'UTR	intron	Pa_1_1032.G
Chr1plus	8985	9050	-	Chr1plus_8985_9050	Chr1plus_8985	Chr1plus_9050	3'UTR	intron	Pa_1_1032.G
Chr1plus	68149	68209	-	Chr1plus_68149_68209	Chr1plus_68149	Chr1plus_68209	CDS-5'UTR	intron	Pa_1_810.G
Chr1plus	89972	90040	+	Chr1plus_89972_90040	Chr1plus_89972	Chr1plus_90040	5'UTR	intron	Pa_1_730.G
Chr1plus	95812	95891	+	Chr1plus_95812_95891	Chr1plus_95812	Chr1plus_95891	5'UTR	intron	Pa_1_710.G
Chr1plus	155071	155130	+	Chr1plus_155071_155130	Chr1plus_155071	Chr1plus_155130	5'UTR	intron	Pa_1_520.G
Chr1plus	160732	160786	+	Chr1plus_160732_160786	Chr1plus_160732	Chr1plus_160786	5'UTR	intron	Pa_1_500.G
Chr1plus	184027	184108	-	Chr1plus_184027_184108	Chr1plus_184027	Chr1plus_184108	3'UTR	intron	Pa_1_430.G
Chr1plus	184031	184108	-	Chr1plus_184031_184108	Chr1plus_184031	Chr1plus_184108	3'UTR	intron	Pa_1_430.G
Chr1plus	184041	184108	-	Chr1plus_184041_184108	Chr1plus_184041	Chr1plus_184108	3'UTR	intron	Pa_1_430.G
Chr1plus	184086	184171	-	Chr1plus_184086_184171	Chr1plus_184086	Chr1plus_184171	3'UTR	intron	Pa_1_430.G
Chr1plus	184086	184190	-	Chr1plus_184086_184190	Chr1plus_184086	Chr1plus_184190	3'UTR	intron	Pa_1_430.G
Chr1plus	184086	184161	-	Chr1plus_184086_184161	Chr1plus_184086	Chr1plus_184161	3'UTR	intron	Pa_1_430.G
Chr1plus	212456	212512	-	Chr1plus_212456_212512	Chr1plus_212456	Chr1plus_212512	3'UTR	intron	Pa_1_340.G
Chr1plus	212451	212512	-	Chr1plus_212451_212512	Chr1plus_212451	Chr1plus_212512	3'UTR	intron	Pa_1_340.G
Chr1plus	231037	231094	+	Chr1plus_231037_231094	Chr1plus_231037	Chr1plus_231094	5'UTR	intron	Pa_1_280.G
Chr1plus	246450	246539	+	Chr1plus_246450_246539	Chr1plus_246450	Chr1plus_246539	3'UTR	intron	Pa_1_240.G
Chr1plus	292193	292242	-	Chr1plus_292193_292242	Chr1plus_292193	Chr1plus_292242	3'UTR	intron	Pa_1_140.G
Chr1plus	295469	295539	-	Chr1plus_295469_295539	Chr1plus_295469	Chr1plus_295539	3'UTR	intron	Pa_1_130.G
Chr1plus	295469	295840	-	Chr1plus_295469_295840	Chr1plus_295469	Chr1plus_295840	3'UTR-intron	ES	Pa_1_130.G
Chr1plus	393817	393914	+	Chr1plus_393817_393914	Chr1plus_393817	Chr1plus_393914	3'UTR	intron	Pa_1_1165.G
Chr1plus	393836	393914	+	Chr1plus_393836_393914	Chr1plus_393836	Chr1plus_393914	3'UTR	intron	Pa_1_1165.G
Chr1plus	424612	424788	+	Chr1plus_424612_424788	Chr1plus_424612	Chr1plus_424788	3'UTR	intron	Pa_1_1260.G
Chr1plus	459861	459929	-	Chr1plus_459861_459929	Chr1plus_459861	Chr1plus_459929	5'UTR	intron	Pa_1_1370.G
Chr1plus	471317	471377	-	Chr1plus_471317_471377	Chr1plus_471317	Chr1plus_471377	5'UTR	intron	Pa_1_1400.G
Chr1plus	471381	471469	-	Chr1plus_471381_471469	Chr1plus_471381	Chr1plus_471469	5'UTR	intron	Pa_1_1400.G
Chr1plus	471546	471608	-	Chr1plus_471546_471608	Chr1plus_471546	Chr1plus_471608	5'UTR	intron	Pa_1_1400.G
Chr1plus	471546	471608	-	Chr1plus_471546_471608	Chr1plus_471546	Chr1plus_471608	3'UTR	intron	Pa_1_1410.G
Chr1plus	471612	471680	-	Chr1plus_471612_471680	Chr1plus_471612	Chr1plus_471680	3'UTR	intron	Pa_1_1410.G
Chr1plus	540256	540386	+	Chr1plus_540256_540386	Chr1plus_540256	Chr1plus_540386	3'UTR	intron	Pa_1_1610.G
Chr1plus	571940	572055	-	Chr1plus_571940_572055	Chr1plus_571940	Chr1plus_572055	5'UTR	intron	Pa_1_1690.G
Chr1plus	596771	596836	+	Chr1plus_596771_596836	Chr1plus_596771	Chr1plus_596836	5'UTR	intron	Pa_1_1780.G
Chr1plus	660060	660109	-	Chr1plus_660060_660109	Chr1plus_660060	Chr1plus_660109	3'UTR	intron	Pa_1_1890.G
Chr1plus	685128	685317	-	Chr1plus_685128_685317	Chr1plus_685128	Chr1plus_685317	CDS-5'UTR	intron	Pa_1_1950.G
Chr1plus	685125	685317	-	Chr1plus_685125_685317	Chr1plus_685125	Chr1plus_685317	CDS-5'UTR	intron	Pa_1_1950.G
Chr1plus	720139	720195	+	Chr1plus_720139_720195	Chr1plus_720139	Chr1plus_720195	5'UTR	intron	Pa_1_2020.G
Chr1plus	723470	723526	-	Chr1plus_723470_723526	Chr1plus_723470	Chr1plus_723526	3'UTR	intron	Pa_1_2030.G
Chr1plus	732549	732677	-	Chr1plus_732549_732677	Chr1plus_732549	Chr1plus_732677	5'UTR	intron	Pa_1_2050.G
Chr1plus	751876	751980	-	Chr1plus_751876_751980	Chr1plus_751876	Chr1plus_751980	5'UTR	intron	Pa_1_2110.G
Chr1plus	775513	775579	+	Chr1plus_775513_775579	Chr1plus_775513	Chr1plus_775579	5'UTR	intron	Pa_1_2190.G
