Chr1plus	15043	15170	-	Chr1plus_15043_15170	Chr1plus_15043	Chr1plus_15170
Chr1plus	22213	22346	+	Chr1plus_22213_22346	Chr1plus_22213	Chr1plus_22346
Chr1plus	22846	23023	-	Chr1plus_22846_23023	Chr1plus_22846	Chr1plus_23023
Chr1plus	23549	23604	+	Chr1plus_23549_23604	Chr1plus_23549	Chr1plus_23604
Chr1plus	33176	33380	+	Chr1plus_33176_33380	Chr1plus_33176	Chr1plus_33380
Chr1plus	36197	36271	-	Chr1plus_36197_36271	Chr1plus_36197	Chr1plus_36271
Chr1plus	61217	61264	-	Chr1plus_61217_61264	Chr1plus_61217	Chr1plus_61264
Chr1plus	80757	80836	-	Chr1plus_80757_80836	Chr1plus_80757	Chr1plus_80836
Chr1plus	101464	101527	-	Chr1plus_101464_101527	Chr1plus_101464	Chr1plus_101527
Chr1plus	149310	149376	+	Chr1plus_149310_149376	Chr1plus_149310	Chr1plus_149376
Chr1plus	191121	191180	-	Chr1plus_191121_191180	Chr1plus_191121	Chr1plus_191180
Chr1plus	191472	191525	-	Chr1plus_191472_191525	Chr1plus_191472	Chr1plus_191525
Chr1plus	227488	227543	-	Chr1plus_227488_227543	Chr1plus_227488	Chr1plus_227543
Chr1plus	242338	242565	+	Chr1plus_242338_242565	Chr1plus_242338	Chr1plus_242565
Chr1plus	242338	242442	+	Chr1plus_242338_242442	Chr1plus_242338	Chr1plus_242442
Chr1plus	244510	244561	+	Chr1plus_244510_244561	Chr1plus_244510	Chr1plus_244561
Chr1plus	269497	269548	-	Chr1plus_269497_269548	Chr1plus_269497	Chr1plus_269548
Chr1plus	269674	269735	-	Chr1plus_269674_269735	Chr1plus_269674	Chr1plus_269735
Chr1plus	272744	272806	-	Chr1plus_272744_272806	Chr1plus_272744	Chr1plus_272806
Chr1plus	277502	277555	-	Chr1plus_277502_277555	Chr1plus_277502	Chr1plus_277555
Chr1plus	281733	281791	-	Chr1plus_281733_281791	Chr1plus_281733	Chr1plus_281791
Chr1plus	281831	281921	-	Chr1plus_281831_281921	Chr1plus_281831	Chr1plus_281921
Chr1plus	286364	286417	-	Chr1plus_286364_286417	Chr1plus_286364	Chr1plus_286417
Chr1plus	295467	295539	+	Chr1plus_295467_295539	Chr1plus_295467	Chr1plus_295539
Chr1plus	303258	303322	-	Chr1plus_303258_303322	Chr1plus_303258	Chr1plus_303322
Chr1plus	310520	310693	+	Chr1plus_310520_310693	Chr1plus_310520	Chr1plus_310693
Chr1plus	313709	313769	+	Chr1plus_313709_313769	Chr1plus_313709	Chr1plus_313769
Chr1plus	314037	314106	+	Chr1plus_314037_314106	Chr1plus_314037	Chr1plus_314106
Chr1plus	317082	317147	+	Chr1plus_317082_317147	Chr1plus_317082	Chr1plus_317147
Chr1plus	320939	321005	+	Chr1plus_320939_321005	Chr1plus_320939	Chr1plus_321005
Chr1plus	321966	322030	-	Chr1plus_321966_322030	Chr1plus_321966	Chr1plus_322030
Chr1plus	324860	324926	+	Chr1plus_324860_324926	Chr1plus_324860	Chr1plus_324926
Chr1plus	325625	325685	-	Chr1plus_325625_325685	Chr1plus_325625	Chr1plus_325685
Chr1plus	327155	327208	-	Chr1plus_327155_327208	Chr1plus_327155	Chr1plus_327208
Chr1plus	328505	328556	-	Chr1plus_328505_328556	Chr1plus_328505	Chr1plus_328556
Chr1plus	336413	336475	+	Chr1plus_336413_336475	Chr1plus_336413	Chr1plus_336475
Chr1plus	337734	337793	+	Chr1plus_337734_337793	Chr1plus_337734	Chr1plus_337793
Chr1plus	341393	341646	-	Chr1plus_341393_341646	Chr1plus_341393	Chr1plus_341646
Chr1plus	370370	370437	-	Chr1plus_370370_370437	Chr1plus_370370	Chr1plus_370437
Chr1plus	370382	370437	-	Chr1plus_370382_370437	Chr1plus_370382	Chr1plus_370437
Chr1plus	388118	388169	+	Chr1plus_388118_388169	Chr1plus_388118	Chr1plus_388169
Chr1plus	388114	388169	+	Chr1plus_388114_388169	Chr1plus_388114	Chr1plus_388169
