Chr1plus	22904	22990	+	Chr1plus_22904_22990	intron	gene	Pa_1_1010.G
Chr1plus	22941	22990	+	Chr1plus_22941_22990	intron	gene	Pa_1_1010.G
Chr1plus	22953	22990	+	Chr1plus_22953_22990	intron	gene	Pa_1_1010.G
Chr1plus	33501	33583	+	Chr1plus_33501_33583	intron	gene	Pa_1_970.G
Chr1plus	55161	55213	-	Chr1plus_55161_55213	intron	gene	Pa_1_880.G
Chr1plus	66521	66577	-	Chr1plus_66521_66577	intron	gene	Pa_1_810.G
Chr1plus	84706	84757	-	Chr1plus_84706_84757	intron	gene	Pa_1_750.G
Chr1plus	121362	121431	+	Chr1plus_121362_121431	intron	gene	Pa_1_620.G
Chr1plus	153855	153907	-	Chr1plus_153855_153907	intron	gene	Pa_1_530.G
Chr1plus	155504	155572	+	Chr1plus_155504_155572	intron	gene	Pa_1_520.G
Chr1plus	170036	170092	-	Chr1plus_170036_170092	intron	gene	Pa_1_470.G
Chr1plus	171334	171399	-	Chr1plus_171334_171399	intron	gene	Pa_1_470.G
Chr1plus	330846	330903	+	Chr1plus_330846_330903	intron	gene	Pa_1_50.G
Chr1plus	374547	374605	+	Chr1plus_374547_374605	intron	gene	Pa_1_1090.G
Chr1plus	425345	425438	-	Chr1plus_425345_425438	intron	gene	Pa_1_1270.G
Chr1plus	447756	447805	-	Chr1plus_447756_447805	intron	gene	Pa_1_1340.G
Chr1plus	453882	453929	+	Chr1plus_453882_453929	intron	gene	Pa_1_1360.G
Chr1plus	676784	676899	+	Chr1plus_676784_676899	intron	gene	Pa_1_1940.G
Chr1plus	720388	720443	+	Chr1plus_720388_720443	intron	gene	Pa_1_2020.G
Chr1plus	735158	735208	-	Chr1plus_735158_735208	intron	gene	Pa_1_2060.G
Chr1plus	738425	738478	-	Chr1plus_738425_738478	intron	gene	Pa_1_2070.G
Chr1plus	775733	775798	+	Chr1plus_775733_775798	intron	gene	Pa_1_2190.G
Chr1plus	798272	798584	+	Chr1plus_798272_798584	intron	gene	Pa_1_2243.G
Chr1plus	811084	811138	-	Chr1plus_811084_811138	intron	gene	Pa_1_2280.G
Chr1plus	869386	869546	+	Chr1plus_869386_869546	intron	gene	Pa_1_2420.G
Chr1plus	1033167	1033222	-	Chr1plus_1033167_1033222	intron	gene	Pa_1_2870.G
Chr1plus	1187742	1187811	+	Chr1plus_1187742_1187811	intron	gene	Pa_1_3280.G
Chr1plus	1305267	1305404	-	Chr1plus_1305267_1305404	intron	gene	Pa_1_3550.G
Chr1plus	1342350	1342401	-	Chr1plus_1342350_1342401	intron	gene	Pa_1_3685.G
Chr1plus	1348644	1348724	+	Chr1plus_1348644_1348724	intron	gene	Pa_1_3692.G
Chr1plus	1403230	1403288	-	Chr1plus_1403230_1403288	intron	gene	Pa_1_3850.G
Chr1plus	1442685	1442836	-	Chr1plus_1442685_1442836	intron	gene	Pa_1_3970.G
Chr1plus	1517741	1518093	+	Chr1plus_1517741_1518093	intron	gene	Pa_1_4260.G
Chr1plus	1517741	1518097	+	Chr1plus_1517741_1518097	intron	gene	Pa_1_4260.G
Chr1plus	1517741	1518084	+	Chr1plus_1517741_1518084	intron	gene	Pa_1_4260.G
Chr1plus	1629613	1629665	+	Chr1plus_1629613_1629665	intron	gene	Pa_1_4560.G
Chr1plus	1629853	1629904	+	Chr1plus_1629853_1629904	intron	gene	Pa_1_4560.G
Chr1plus	1696451	1696510	+	Chr1plus_1696451_1696510	intron	gene	Pa_1_4740.G
Chr1plus	1726832	1726910	+	Chr1plus_1726832_1726910	intron	gene	Pa_1_4830.G
Chr1plus	1739848	1739906	+	Chr1plus_1739848_1739906	intron	gene	Pa_1_4870.G
Chr1plus	1753433	1753485	-	Chr1plus_1753433_1753485	intron	gene	Pa_1_4920.G
Chr1plus	1753427	1753485	-	Chr1plus_1753427_1753485	intron	gene	Pa_1_4920.G
Chr1plus	1799002	1799067	-	Chr1plus_1799002_1799067	intron	gene	Pa_1_5035.G
Chr1plus	1829188	1829401	-	Chr1plus_1829188_1829401	intron	gene	Pa_1_5160.G
Chr1plus	1829223	1829401	-	Chr1plus_1829223_1829401	intron	gene	Pa_1_5160.G
Chr1plus	1936649	1936700	-	Chr1plus_1936649_1936700	intron	gene	Pa_1_5500.G
Chr1plus	1990106	1990160	-	Chr1plus_1990106_1990160	intron	gene	Pa_1_5630.G
