Chr1plus	8985	9043	334;116;376;241;325;115;233;1054;1173;179;450;147;141;97;92;584;43;442;235;431;307;390;37;125;83;90;60;105;4;67;49;24;2	-	SRR6960207;SRR6960212;SRR6960219;SRR6960220;SRR6960221;SRR3197700;SRR3197702;SRR3197710;SRR6960211;SRR6960215;SRR6960218;SRR3197703;SRR3197706;SRR3197707;SRR3197708;SRR3197711;SRR6960208;SRR6960209;SRR6960210;SRR6960213;SRR6960214;SRR6960223;SRR6960225;SRR3197704;SRR3197705;SRR3197709;SRR6960216;SRR6960217;SRR6960224;SRR3197701;SRR6960222;ERR2224047;ERR2224048	Chr1plus_8985_9043	1173	NA
Chr1plus	8985	9050	14;5;2;2;3;1;4;2;3;4;2;1;1;6;1	-	SRR3197710;SRR6960213;SRR6960214;SRR3197702;SRR3197703;SRR6960221;SRR3197711;SRR6960209;SRR6960211;SRR3197709;SRR3197707;SRR3197704;SRR3197701;SRR6960207;SRR6960215	Chr1plus_8985_9050	14	NA
Chr1plus	9191	9257	132;27;190;102;554;60;198;166;194;137;105;177;166;82;143;918;480;59;184;131;41;31;81;95;67;91;26;42;13;65;2;172;13;3;2	-	SRR6960207;SRR6960208;SRR6960209;SRR6960210;SRR6960211;SRR6960212;SRR6960213;SRR6960214;SRR6960218;SRR6960219;SRR6960220;SRR6960221;SRR6960223;SRR3197705;SRR3197706;SRR3197710;SRR3197711;SRR6960217;SRR3197702;SRR3197703;SRR6960216;SRR6960222;SRR6960215;SRR3197708;SRR3197704;SRR3197707;SRR3197701;SRR3197700;SRR6960225;SRR3197709;SRR6960224;ERR2224047;ERR2224048;ERR2224049;ERR2224046	Chr1plus_9191_9257	918	NA
Chr1plus	15043	15170	63;7;5;3;2	-	SRR3197710;SRR3197711;SRR3197704;SRR3197709;SRR3197708	Chr1plus_15043_15170	63	NA
Chr1plus	22213	22346	20;1	+	SRR3197710;SRR3197700	Chr1plus_22213_22346	20	NA
Chr1plus	22846	23023	14;7;1;2	-	SRR6960221;SRR6960209;SRR6960212;SRR6960219	Chr1plus_22846_23023	14	NA
Chr1plus	22904	22990	1049;16	+	SRR6960221;SRR6960209	Chr1plus_22904_22990	1049	NA
Chr1plus	22941	22990	1725;1472;13	+	SRR6960219;SRR6960221;SRR6960209	Chr1plus_22941_22990	1725	NA
Chr1plus	22953	22990	2734;43;38	+	SRR6960221;SRR6960209;SRR6960219	Chr1plus_22953_22990	2734	NA
Chr1plus	23549	23604	7392;6863	+	SRR6960209;SRR6960219	Chr1plus_23549_23604	7392	NA
Chr1plus	33176	33380	1;3;9	+	SRR3197709;SRR3197711;SRR3197710	Chr1plus_33176_33380	9	NA
Chr1plus	33501	33583	87;51	+	SRR6960215;SRR6960217	Chr1plus_33501_33583	87	NA
Chr1plus	33621	33692	12;3;3;1;1	+	SRR6960208;SRR6960217;SRR6960214;SRR6960216;SRR6960215	Chr1plus_33621_33692	12	NA
Chr1plus	36197	36271	17;4;12;2;2;2;4;8;4;9;2;3;1;3;3;1;2;1;4	-	SRR6960225;SRR6960210;SRR6960212;SRR3197709;SRR3197711;SRR6960219;SRR6960215;SRR6960222;SRR6960223;SRR6960216;SRR6960217;SRR6960218;SRR6960211;SRR3197700;SRR3197710;SRR3197701;SRR6960214;SRR6960208;ERR2224048	Chr1plus_36197_36271	17	NA
Chr1plus	55161	55213	3;4;21;2;3;2;22;2;4;6;1;1;18;1;1	-	SRR3197708;SRR3197707;SRR3197701;SRR6960214;SRR6960211;SRR6960220;SRR3197710;SRR6960222;SRR3197702;SRR3197703;SRR6960209;SRR6960221;ERR2224051;SRR3197704;SRR3197709	Chr1plus_55161_55213	22	NA
Chr1plus	61217	61264	7;13;26;34;29;4;4;6;3;6;7;7;4;4;1;1;1;1;1	-	SRR6960216;SRR6960225;SRR6960208;SRR6960212;SRR6960215;SRR6960207;SRR6960214;SRR6960222;SRR6960213;SRR6960221;SRR6960223;SRR6960210;SRR6960209;SRR6960217;SRR6960220;SRR6960219;SRR6960211;SRR6960218;ERR2224047	Chr1plus_61217_61264	34	NA
Chr1plus	66521	66577	420;1523;1000;741;1542;1949;1384;2024;880;1037;586;841;1824;1383;1541;187;42;25;13;700;948;50;98;522;90;22;19;38;9;7;11;67;6;4;1	-	SRR6960207;SRR6960208;SRR6960209;SRR6960210;SRR6960212;SRR6960215;SRR6960216;SRR6960217;SRR6960218;SRR6960219;SRR6960220;SRR6960221;SRR6960222;SRR6960223;SRR6960225;SRR3197701;SRR3197704;SRR3197705;SRR3197707;SRR6960211;SRR6960213;SRR3197709;SRR3197711;SRR6960214;SRR3197710;SRR3197702;SRR3197708;SRR3197700;SRR3197703;SRR3197706;SRR6960224;ERR2224050;ERR2224049;ERR2224051;ERR2224048	Chr1plus_66521_66577	2024	NA
Chr1plus	68149	68209	27;77;38;30;22;14;6;20;48;24;10;7;8;17;2;10;1;12	-	SRR6960216;SRR6960217;SRR6960219;SRR6960221;SRR6960225;SRR6960215;SRR6960218;SRR6960223;SRR6960222;SRR6960209;SRR6960212;SRR6960210;SRR6960211;SRR6960208;SRR6960214;SRR6960220;SRR3197711;SRR6960213	Chr1plus_68149_68209	77	NA
Chr1plus	80757	80836	4;2;1;1;1;1;2;7;1	-	SRR3197701;SRR6960212;SRR6960213;SRR3197710;SRR6960219;SRR3197711;SRR3197705;ERR2224047;SRR6960225	Chr1plus_80757_80836	7	NA
Chr1plus	84706	84757	92;21	-	ERR2224048;ERR2224049	Chr1plus_84706_84757	92	NA
Chr1plus	89972	90040	290;97;44;61;47;56;51;49;194;152;240;40;163;68;56;105;72;29;117;87;96;48;26;17;19;34;70;15;12;28;5;102;640;269;966;427;116	+	SRR6960217;SRR6960220;SRR3197703;SRR3197711;SRR6960208;SRR6960211;SRR6960213;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR3197701;SRR3197704;SRR3197709;SRR3197708;SRR6960209;SRR6960215;SRR6960223;SRR3197705;SRR6960216;SRR3197710;SRR3197702;SRR3197700;SRR3197706;SRR6960207;SRR6960212;SRR6960214;SRR6960210;SRR3197707;SRR6960225;SRR6960224;ERR2224046;ERR2224048;ERR2224049;ERR2224051;ERR2224047;ERR2224050	Chr1plus_89972_90040	966	NA
Chr1plus	95812	95891	3;6;1;2;4;3	+	SRR3197704;SRR6960214;SRR3197706;SRR6960217;SRR6960222;SRR6960223	Chr1plus_95812_95891	6	NA
Chr1plus	101136	101197	8;2;3;4;2;1;3;3;6;1;1;1;1	-	SRR3197710;SRR6960219;SRR6960214;SRR6960222;SRR3197704;SRR6960209;SRR3197703;SRR3197701;SRR3197709;SRR6960218;SRR3197702;ERR2224050;ERR2224047	Chr1plus_101136_101197	8	NA
Chr1plus	101464	101527	5;5;4;3;3;1;2;1;2;1;2;1;2;4;10	-	SRR3197710;SRR3197704;SRR3197707;SRR6960219;SRR3197705;SRR3197711;SRR6960213;SRR6960218;SRR3197701;SRR6960214;SRR3197708;SRR3197702;SRR3197700;ERR2224046;ERR2224051	Chr1plus_101464_101527	10	NA
Chr1plus	102750	102814	4;2;6;2;2;1;1;1;1;1;2	-	SRR3197710;SRR6960215;SRR6960222;SRR3197702;SRR6960208;SRR6960214;SRR6960221;SRR6960219;SRR6960220;SRR3197701;SRR3197709	Chr1plus_102750_102814	6	NA
Chr1plus	108123	108194	6;5	-	SRR6960221;SRR3197700	Chr1plus_108123_108194	6	NA
Chr1plus	108859	108934	7;8;22;11;3;4;15;6;6;7;4;6;3;5;2;14;19;1;9;2;3;1;1;1;1	+	SRR6960216;SRR3197710;SRR6960222;SRR6960209;SRR3197704;SRR6960211;SRR6960217;SRR6960219;SRR6960221;SRR6960218;SRR3197709;SRR3197705;SRR6960213;SRR6960223;SRR6960225;ERR2224050;ERR2224051;SRR3197708;ERR2224046;SRR6960208;SRR6960220;SRR3197701;ERR2224048;SRR6960215;ERR2224049	Chr1plus_108859_108934	22	NA
Chr1plus	121362	121431	14;3	+	ERR2224047;SRR6960220	Chr1plus_121362_121431	14	NA
Chr1plus	129068	129134	57;1	+	SRR3197701;SRR3197710	Chr1plus_129068_129134	57	NA
Chr1plus	129059	129134	5;1	+	SRR3197710;ERR2224046	Chr1plus_129059_129134	5	NA
Chr1plus	149310	149376	10;3	+	SRR3197710;SRR3197711	Chr1plus_149310_149376	10	NA
